,Name,Type,County,Population,Land Area miles2,Address,Indicator,Latitude,Longitude
246,Mammoth Lakes,Town,Mono,8234,24.87,"Mammoth Lakes, California",0.0,37.6432525,-118.9668509
248,Manteca,City,San Joaquin,67096,17.73,"Manteca, California",0.0,37.7986184,-121.2117148
249,Maricopa,City,Kern,1154,1.5,"Maricopa, California",0.0,35.058858,-119.4009509
250,Marina,City,Monterey,19718,8.88,"Marina, California",0.0,36.6900986,-121.80062933026213
251,Martinez,City,Contra Costa,35824,12.13,"Martinez, California",0.0,38.0138934,-122.1338674
252,Marysville,City,Yuba,12072,3.46,"Marysville, California",0.0,39.1457247,-121.5913516
253,Maywood,City,Los Angeles,27395,1.18,"Maywood, California",0.0,33.9866807,-118.185349
254,McFarland,City,Kern,12707,2.67,"McFarland, California",0.0,35.6780104,-119.2292748
255,Mendota,City,Fresno,11014,3.28,"Mendota, California",0.0,36.7535486,-120.3815579
256,Menifee,City,Riverside,77519,46.47,"Menifee, California",0.0,33.6864432,-117.1770437
258,Merced,City,Merced,78958,23.32,"Merced, California",0.0,37.1641544,-120.7678602
259,Mill Valley,City,Marin,13903,4.76,"Mill Valley, California",0.0,37.9060368,-122.5449763
261,Milpitas,City,Santa Clara,66790,13.59,"Milpitas, California",0.0,37.4282724,-121.9066238
265,Montague,City,Siskiyou,1443,1.78,"Montague, California",0.0,41.728267,-122.527392
266,Montclair,City,San Bernardino,36664,5.52,"Montclair, California",0.0,34.0775104,-117.6897776
267,Monte Sereno,City,Santa Clara,3341,1.62,"Monte Sereno, California",0.0,37.236333,-121.992458
268,Montebello,City,Los Angeles,62500,8.33,"Montebello, California",0.0,34.0159398,-118.111975
270,Monterey Park,City,Los Angeles,60269,7.67,"Monterey Park, California",0.0,34.051522,-118.129807
271,Moorpark,City,Ventura,34421,12.58,"Moorpark, California",0.0,34.285558,-118.8820414
272,Moraga,Town,Contra Costa,16016,9.43,"Moraga, California",0.0,37.834897,-122.12883
273,Moreno Valley,City,Riverside,193365,51.27,"Moreno Valley, California",0.0,33.937517,-117.2305944
275,Morro Bay,City,San Luis Obispo,10234,5.3,"Morro Bay, California",0.0,35.3658075,-120.8499013
276,Mount Shasta,City,Siskiyou,3394,3.77,"Mount Shasta, California",0.0,41.4091897,-122.1949533
278,Murrieta,City,Riverside,103466,33.58,"Murrieta, California",0.0,33.560832,-117.2106564
280,National City,City,San Diego,58582,7.28,"National City, California",0.0,32.6781085,-117.0991967
281,Needles,City,San Bernardino,4844,30.81,"Needles, California",0.0,34.8480597,-114.6141316
282,Nevada City,City,Nevada,3068,2.19,"Nevada City, California",0.0,39.2615606,-121.0160594
283,Newark,City,Alameda,42573,13.87,"Newark, California",0.0,37.5296593,-122.0402399
284,Newman,City,Stanislaus,10224,2.1,"Newman, California",0.0,37.3139487,-121.0204222
286,Norco,City,Riverside,27063,13.96,"Norco, California",0.0,33.9323307,-117.5508901
287,Norwalk,City,Los Angeles,105549,9.71,"Norwalk, California",0.0,33.9092802,-118.0849169
289,Oakdale,City,Stanislaus,20675,6.04,"Oakdale, California",0.0,37.787351349999994,-120.81972543130206
291,Oakley,City,Contra Costa,35432,15.85,"Oakley, California",0.0,37.9974219,-121.7124536
293,Ojai,City,Ventura,7461,4.39,"Ojai, California",0.0,34.4480495,-119.242889
294,Ontario,City,San Bernardino,163924,49.94,"Ontario, California",0.0,34.065846,-117.6484304
296,Orange Cove,City,Fresno,9078,1.91,"Orange Cove, California",0.0,36.624394,-119.3137301
297,Orinda,City,Contra Costa,17643,12.68,"Orinda, California",0.0,37.8771476,-122.1796888
298,Orland,City,Glenn,7291,2.97,"Orland, California",0.0,39.7471106,-122.1911356
299,Oroville,City,Butte,15546,12.99,"Oroville, California",0.0,39.5137752,-121.556359
300,Oxnard,City,Ventura,197899,26.89,"Oxnard, California",0.0,34.1976308,-119.1803818
302,Pacifica,City,San Mateo,37234,12.66,"Pacifica, California",0.0,37.6138253,-122.4869194
304,Palm Springs,City,Riverside,44552,94.12,"Palm Springs, California",0.0,33.8246269,-116.540303
307,Palos Verdes Estates,City,Los Angeles,13438,4.77,"Palos Verdes Estates, California",0.0,33.7872386,-118.401813
308,Paradise,Town,Butte,26218,18.31,"Paradise, California",0.0,39.7596061,-121.6219177
309,Paramount,City,Los Angeles,54098,4.73,"Paramount, California",0.0,33.898917,-118.171005
310,Parlier,City,Fresno,14494,2.19,"Parlier, California",0.0,36.6116174,-119.5270734
312,Paso Robles,City,San Luis Obispo,29793,19.12,"Paso Robles, California",0.0,35.6267654,-120.6912456
313,Patterson,City,Stanislaus,20413,5.95,"Patterson, California",0.0,37.471623,-121.1296949
314,Perris,City,Riverside,68386,31.39,"Perris, California",0.0,33.7825194,-117.2286478
316,Pico Rivera,City,Los Angeles,62942,8.3,"Pico Rivera, California",0.0,33.9830688,-118.096735
317,Piedmont,City,Alameda,10667,1.68,"Piedmont, California",0.0,37.8243715,-122.231635
319,Pismo Beach,City,San Luis Obispo,7655,3.6,"Pismo Beach, California",0.0,33.7312058,-117.7697509
320,Pittsburg,City,Contra Costa,63264,17.22,"Pittsburg, California",0.0,38.0181745,-121.8901232
321,Placentia,City,Orange,50533,6.57,"Placentia, California",0.0,33.8714814,-117.8617337
322,Placerville,City,El Dorado,10389,5.81,"Placerville, California",0.0,38.7296252,-120.798546
323,Pleasant Hill,City,Contra Costa,33152,7.07,"Pleasant Hill, California",0.0,37.9479786,-122.0607963
325,Plymouth,City,Amador,1005,0.93,"Plymouth, California",0.0,38.4818531,-120.844659
326,Point Arena,City,Mendocino,449,1.35,"Point Arena, California",0.0,38.917953499999996,-123.72562137721481
327,Pomona,City,Los Angeles,149058,22.95,"Pomona, California",0.0,34.0553813,-117.7517496
328,Port Hueneme,City,Ventura,21723,4.45,"Port Hueneme, California",0.0,34.1477829,-119.1951074
329,Porterville,City,Tulare,54165,17.61,"Porterville, California",0.0,36.06523,-119.0167679
330,Portola,City,Plumas,2104,5.41,"Portola, California",0.0,39.819389,-120.46736204229074
331,Portola Valley,Town,San Mateo,4353,9.09,"Portola Valley, California",0.0,37.3736298,-122.219047
332,Poway,City,San Diego,47811,39.08,"Poway, California",0.0,32.9628234,-117.0358646
333,Rancho Cordova,City,Sacramento,64776,33.51,"Rancho Cordova, California",0.0,38.5890723,-121.302728
335,Rancho Mirage,City,Riverside,17218,24.45,"Rancho Mirage, California",0.0,33.763346,-116.4228596
338,Red Bluff,City,Tehama,14076,7.56,"Red Bluff, California",0.0,40.1784279,-122.2359236
341,Redondo Beach,City,Los Angeles,66747,6.2,"Redondo Beach, California",0.0,33.8455911,-118.3886766
342,Redwood City,City,San Mateo,76815,19.42,"Redwood City, California",0.0,37.4863239,-122.2325233
343,Reedley,City,Fresno,24194,5.08,"Reedley, California",0.0,36.5963395,-119.4504029
344,Rialto,City,San Bernardino,99171,22.35,"Rialto, California",0.0,34.1064001,-117.3703235
345,Richmond,City,Contra Costa,103701,30.07,"Richmond, California",0.0,37.9357576,-122.3477486
346,Ridgecrest,City,Kern,27616,20.77,"Ridgecrest, California",0.0,35.6225064,-117.6699414
347,Rio Dell,City,Humboldt,3368,2.28,"Rio Dell, California",0.0,40.499301,-124.106437
348,Rio Vista,City,Solano,7360,6.69,"Rio Vista, California",0.0,38.1557502,-121.6913439
349,Ripon,City,San Joaquin,14297,5.3,"Ripon, California",0.0,37.741595,-121.1243828
350,Riverbank,City,Stanislaus,22678,4.09,"Riverbank, California",0.0,37.7360396,-120.9354895
352,Rocklin,City,Placer,56974,19.54,"Rocklin, California",0.0,38.7907339,-121.2357828
